Название;Жанр;Режиссер;Страна;Год
12 разгневанных мужчин;юридическая, драма;Сидни Люмет;США;1957
12 обезьян;фантастика, триллер, драма, антиутопия;Терри Гиллиам;США;1995
12 могил Ходжи Насреддина;комедия, сказка;Климентий Минц;СССР;1966
12 месяцев. Новая сказка;фильм-сказка, комедия, мелодрама, семейный фильм;Денис Елеонский;Россия;2015
12 месяцев;романтическая, фэнтезийная комедия;Александр Баршак;Россия;2013
12 лет рабства;историческая, драма;Стив Маккуин;;2013
12 дней террора;ужасы, триллер, драма;Джек Шолдер;ЮАР;2004
«12»;психологический, триллер, юридический, детектив, драма;Никита Михалков;Россия;2007
11.6;драма, Саундтрек;Филипп Годо;Франция;2013
11:14;триллер, детектив, криминал, чёрная комедия;Грег Маркс, [англ.];;2003
11-11-11;фильм ужасов о сверхъестественном;Даррен Линн Боусман;;2011
11 сентября;драма, исторический, киноальманах;Самира Махмальбаф, Клод Лелуш, Юсеф Шахин, Данис Танович, Идрисса Уэдраого, Кен Лоуч, Алехандро Гонсалес Инарриту, Амос Гитай, Мира Наир, Шон Пенн, Сёхэй Имамура;;2002
10 шагов к успеху;комедийная драма;Брэд Силберлинг;США;2006
10 причин моей ненависти;подростковая, романтическая комедия;Джил Джангер;США;1999
10 на 10;психологический триллер;Сьюзи Юинг;;2018
10 миль в час;Документальное кино;Хантер Уикс, [англ.];США, США;2007
10 лет спустя;романтическая, комедийная драма;Джеми Линден;США;2011
10 000 лет до нашей эры;приключенческий боевик;Роланд Эммерих;;2008
9/11;драма, фильм-катастрофа;Мартин Гиги;США;2017
9 смертей ниндзя;боевик;Эмметт Олстон;США;1985
9 секунд;биография, драма;Олег Штром;Россия;2024
9 рота;военно, -, исторический, боевик, драма;Фёдор Бондарчук;;2005
9 песен;драма, мелодрама, музыкальный фильм, эротика;Майкл Уинтерботтом;Великобритания;2004
9 месяцев строгого режима;комедия;Альбер Дюпонтель;Франция;2013
9 мёртвых геев;драма, комедия;Лаб Ки Мо;Великобритания;2002
9 мая. Личное отношение;Телеальманах;Авдотья Смирнова, Александр Котт, Владимир Котт, Евгений Лаврентьев, Карен Оганесян, Максим Пежемский, Егор Кончаловский, Василий Чигинский;Россия;2008
9 душ;фильм-драма;Тосиаки Тоёда;Япония;2003
9 апреля;Военный, драма;Рони Эзра;Дания;2015
8-битное Рождество;комедия;Майкл Даус;США;2021
8 свиданий;Романтическая кинокомедия;Перис Романо, Родриго Сорогойен;Испания;2008
8 подруг Оушена;кинокомедия, криминальный фильм;Гэри Росс;США;2018
8 первых свиданий;мелодрама, комедия;Дэвид Додсон, Александр Маляревский;;2012
8 миллиметров;триллер, криминал;Джоэл Шумахер;;1999
8 лучших свиданий;комедия, /, мелодрама;Марюс Вайсберг;;2016
8 женщин;мюзикл, комедия, детектив;Франсуа Озон;;2002
8 ½ $;криминальная комедия;Григорий Константинопольский;Россия;1999
8;историческая, драма;Хулио Медем;Испания;2025
7:35 утра;короткометражный, музыкальный;Начо Вигалондо;Испания, 1;2003
007: Спектр;шпионский фильм;Сэм Мендес;;2015
007: Координаты «Скайфолл»;шпионский фильм;Сэм Мендес;;2012
Ноль-седьмой меняет курс;боевик, /, драма;Владимир Потапов;Россия;2007
7 ящиков;триллер, криминал;Хуан Карлос Манелья, Тана Шембори;Парагвай;2012
7 секунд;боевик;Саймон Феллоуз;;2005
7 женщин;драма;Джон Форд;США;1966
7 дней, 7 ночей;семейный фильм;Айк Кбеян;Россия;2024
7 дней и ночей с Мэрилин;драма, биография;Саймон Кёртис, [англ.];Великобритания;2011
7 дней до смерти;драма, фильм ужасов, триллер;Себастьян Ниман;;2000
7 дней в Сирии;документальный фильм;Роберт Риппбергер, [вд];США;2015
7 главных желаний;комедия, мелодрама;Вадим Соколовский;Россия;2013
6-й день;фантастика, триллер;Роджер Споттисвуд;США;2000
6 дней;боевик, триллер;Тоа Фрейзер;;2017
5×2;мелодрама, драма;Франсуа Озон;Франция;2004
5-я волна;постапокалиптика, научная фантастика;Дж. Блэйксон;США;2016
5 терапия;драма, триллер, биография;Алиса Павловская;Украина;2017
5 сантиметров в секунду;;Ёсиюки Окуяма, [вд];Япония;2025
5 разбитых камер;документальный фильм;Эмад Бурнат, Гай Давиди;;2011
5 причин не влюбиться в казаха;комедия;Аскар Узабаев;Казахстан;2017
5 неизвестных...;триллер;Симон Бранд;США;2006
5 недель;трагикомедия;Александр Андреев;Россия;2021
5 дней в августе;военный, боевик;Ренни Харлин;;2011
4.3.2.1;триллер, электро-хаус, соул, R’n’B, хип-хоп, грайм;Ноэль Кларк;Великобритания;2010
4:44. Последний день на Земле;драма, фантастика;Абель Феррара;США;2011
4:0 в пользу Танечки;комедия;Радомир Василевский;СССР;1982
4 x 4;драма, комедия;Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара;;1965
4 месяца, 3 недели и 2 дня;психологическая, драма;Кристиан Мунджиу;Румыния;2007
4 маленькие девочки;Исторический документальный;Спайк Ли;США;1997
4 листа фанеры;детектив;Иван Гаврилюк, Сайдо Курбанов;Украина;1992
4 дня в мае;военная, драма, боевик;Ахим фон Боррис;;2011
4 американских композитора;документальный, музыкальный;Питер Гринуэй;Великобритания;1983
Четыре;драма;Илья Хржановский;;2004
3: История Дейла Эрнхардта;биографическая, спортивная, драма;Рассел Малкэхи;США;2004
3 ночи в пустыне;драма;Гэбриэль Коуэн, [англ.];США;2014
3 идиота;комедия, и, семейный фильм;Карлос Боладо, [вд];Мексика;2017
3 идиота;комедия, /, драма;Раджкумар Хирани;Индия;2009
Три гигантских человека;супергеройский фильм;Tevfik Fikret Uçak, [вд];;1973
2pac: Легенда;байопик, драма, боевик;Бенни Бум;США;2017
2+1;драма, семейный, Музыка к фильму;Юго Желен;;2016
2:37;драма, 1, 2;Мулари К. Теллури, [вд], 1, 2, […];Австралия;2006
2:22;триллер;Пол Карри, [англ.];;2017
2-Асса-2;драма;Сергей Соловьёв;Россия;2008
2 Girls 1 Cup;порнофильм, и, ЛГБТ-фильм, [вд];Марко Фиорито, [вд];Бразилия;2007
2 секунды;комедия;Манон Брайан;Канада;1998
2 дурня в снегу;комедия;Жан-Луи Гийерму;Франция;1977
2 дня в Париже;комедия, драма, мелодрама;Жюли Дельпи;;2007
1+1: Голливудская история;комедийная драма;Нил Бёргер;США;2017
1+1;комедийная драма, бадди-муви;Оливье Накаш, 2, Эрик Толедано, 2;Франция;2011
01-99;комедия;Амасий Мартиросян;СССР;1959
1 миля до тебя;драма, мелодрама;Лейф Тильден;США;2017
1%;криминальный;Стив МакКаллум;Австралия;2017
1;документальный;Пол Краудер;США;2013
0-41*;документальный, драма, комедия;Сенна Хегде;Индия;2016
(Почти) Пять Докторов: Перезагрузка;комедийный фильм, кинопародия;Питер Дэвисон;Великобритания;2013
(Не)идеальные роботы;романтическая комедия, научно-фантастический фильм, и, экранизация литературного произведения, [вд];Энтони Хайнс, Каспер Кристенсен;США;2023
(Не)бывшие;драма, и, мелодрама;Стефан Бризе;Франция;2023
«SOS» над тайгой;драма, приключения;Аркадий Кольцатый, Валентин Перов;СССР;1976
Чудотворец из Бирюлёва;игровое кино;Борис Эпштейн;СССР;1958
«Спартак»: действующие лица… и болельщики;документальный, спорт;Илья Гутман, Иосиф Пастернак;СССР;1985
«Москвич», любовь моя;драма;Арам Шахбазян;;2015
…которого любили все;документально, -, биографический фильм;Леонид Осыка;СССР;1982
…И прекрасный миг победы;спортивный фильм;Вячеслав Винник;СССР;1984
…и передайте привет ласточкам;драма, военный;Яромил Йиреш;Чехословакия;1972
…а пятый всадник – Страх;драма, военный, арт-хаус;Збынек Брыных;Чехословакия;1965
Без названия;драма, 1;Ханун Брамантйо, [вд], 1;Индонезия;2011
Аватар: Пламя и пепел;эпический фильм, научная фантастика, приключенческий боевик;Джеймс Кэмерон;США;2025
Аватар, или Замена душ;фантастика, драма;Януш Маевский;Польша;1964
Аватар 4;эпический фильм, научная фантастика, боевик, приключения, фэнтези;Джеймс Кэмерон;США;2029
Аватар;эпический фильм, научная фантастика, приключенческий боевик, 1, драма;Джеймс Кэмерон;;2009
Аватар;мистическая, драма;Кармине Галлоне;Италия;1916
Авария;триллер;Джонатан Мостоу;США;1997
Авария;детектив;Джеймс Аллен;;1990
Авария (Несчастный случай);боевик;Серджиу Николаеску;Румыния;1976
Авария;детектив, драма;Витаутас Жалакявичюс;СССР;1974
Авария;Детектив;Александр Абрамов, Наум Бирман;СССР;1965
Авария — дочь мента;драма;Михаил Туманишвили;СССР;1989
Аварийный выход;комедия;Роман Залуски;Польша;1982
Авантюристы;приключения;Константин Буслов;Россия;2014
Авантюристы;драма, комедия, боевик, военный, приключения;Анри Вернёй;Франция;1984
Авантюристы;приключенческий фильм;Дэвид Макдональд;Великобритания;1951
Авантюрист;военная, драма, 1, приключенческий фильм;Чжан Пэйчэн, [кит.];Китайская Республика;1976
Аванти!;комедия;Билли Уайлдер;;1972
Аванпост;фильм-триллер, научно-фантастический фильм, боевик, и, антиутопический фильм;Баранов, Егор Геннадьевич;Россия;2019
Аванти пополо;военная драма;Рафи Букай;Израиль;1986
Авалон;фантастика, триллер, драма, киберпанк;Мамору Осии;;2001
Авангард: Арктические волки;боевик, , криминал, комедия;Стэнли Тонг;Китай;2020
Авантюра;комедия, шпионский фильм;Виталий Макаров;;1995
Авантюра леди Хелен;короткометражный фильм;Дэвид Уорк Гриффит;США;1909
Авалон;драма;Барри Левинсон;США;1990
Авансцена;драма, биография;Стэнли Кван;Гонконг;1991
Ава;драма;Леа Мисиус, [фр.];Франция;2017
Абу Райхан Беруни;драма;Шухрат Аббасов;СССР;1974
Абсурдистан;Комедия;Файт Хельмер;;2008
Абсолютные новички;драма, фэнтези, мелодрама, мюзикл;Джулиен Темпл, [англ.];;1986
Абсолютная сотня;криминал, драма, боевик, триллер;Срджан Голубович;СР Югославия;2001
Абсолютная власть;драма, триллер, детектив;Даниэль Рагуссис;США;2016
Абсолон;фантастический боевик;Дэвид Барто;;2003
Абсолюная власть;драма, триллер;Джон Ирвин;;1990
Абсолютная власть;драма, триллер;Клинт Иствуд;США;1997
Абрикосовые рощи;драма, мелодрама;Пуриа Хейдари Урех;Армения;2016
Абраксас, хранитель Вселенной;боевик;Дэмьен Ли;США;1991
Аборт;;Ариндам Сил, [вд];Индия;2013
Аборт: Истории, рассказанные женщинами;документальный фильм;Трейси Дроз Трагос, 1;США;2016
Абориген;Драма;Елена Николаева;СССР;1988
Абитуриентка;Драма;Алексей Мишурин;СССР;1973
Абесалом и Этери;опера, драма, романтика;Леонард Эсакия;Грузия;1966
Абель;комедия;Алекс ван Вармердам;Нидерланды;1986
Абдулладжан, или Посвящается Стивену Спилбергу;фантастический фильм, комедия;Зульфикар Мусаков;СССР;1991
Абдулла Арипов;история, биография;Музаффархон Эркинов;Узбекистан;2023
Аббатство Даунтон: Новая эра;историческая драма;Саймон Кёртис, [англ.];;2022
Аббатство Даунтон 3;;Саймон Кёртис, [англ.];;2025
Аббатство Даунтон;драма;Майкл Энглер, [англ.];Великобритания;2019
Аббат Шаолиня;боевик, приключенческий фильм;Хэ Мэнхуа, [англ.];Гонконг;1979
Абатуар. Лабиринт страха;фильм ужасов;Даррен Линн Боусман;США;2016
Аафат;криминальный триллер;Атма Рам, [вд];Индия;1977
Аанг;;;;
«А чой-то ты во фраке?»;комедия, /, мюзикл;Иосиф Райхельгауз;Россия;1993
А у нас была тишина...;военная драма;Владимир Шамшурин;СССР;1977
А у вас который час?;драма;Цай Минлян;Китайская Республика;2001
А теперь, дамы и господа;криминальный фильм, драма, мелодрама, триллер;Клод Лелуш;;2002
А теперь суди…;драма;Владимир Довгань;СССР;1966
А теперь не смотри;мистический триллер;Николас Роуг;;1973
Монти Пайтон: а теперь нечто совсем другое;комедия;Иан Макнафтон;Великобритания;1971
А счастье рядом;мелодрама;Маргарита Касымова;;1978
А поутру они проснулись;комедия, драма;Сергей Никоненко;Россия;2003
А потом мы танцевали;драма;Леван Акин;;2019
А пароходы гудят и уходят…;;Рубен Мурадян, [вд];СССР;1972
А ну-ка, дедушки!;комедия;Нинель Ненова-Цулая, Гено Цулая;;1981
А кто я на этот раз?;драма;Джонатан Демми;США;1983
А как же Боб?;комедия;Фрэнк Оз;США;1991
А зори здесь тихие…;драма, военный;Ренат Давлетьяров;Россия;2015
А зори здесь тихие;драма, военный, экранизация;Станислав Ростоцкий;СССР;1972
А защищал её Плевако;драма;Николай Козловский;Российская империя;1916
А завтра весь мир;драма;Юлия фон Хайнц;;2020
А если это любовь?;драма;Юлий Райзман;СССР;1962
А вы любили когда-нибудь?;музыкальная комедия;Игорь Усов;СССР;1973
А вот и Хаггетты;комедия, драма;Кен Эннакин;Великобритания;1948
А вот и Полли;комедия;Джон Гамбург;США;2004
А вот и Лола;Романтическая комедия;Эллен Сидлер, Мэган Силер;США;2009
А вот и гости!;комедия, драма, семейный фильм, фэнтези;Дэвид Йейтс;Великобритания;2003
А в душе я танцую;драма;Дэмиен О'Доннелл;;2004
7500;Триллер, боевик;Патрик Воллрат;;2019
А был ли Каротин;детективный фильм, комедия;Геннадий Полока;СССР;1989
7500;ужасы, триллер;Такаси Симидзу;;2014
«3096 дней»;драма;Шерри Хорман;Германия;2013
3000 миль до Грейслэнда;драма, комедия, криминал, триллер;Дэмиен Лихтенштайн;США;2001
2199: Космическая одиссея;боевик, постапокалиптика, космическая опера, драма;Такаси Ямадзаки;Япония;2010
2081;Фантастика, Антиутопия;Чендлер Таттл;США;2009
2067: Петля времени;научно-фантастический, триллер;Сет Ларни;Австралия;2020
2050;научная фантастика, драма;Принстон Холт;США;2018
2046;драма, мелодрама, фантастика;Вонг Карвай;;2004
2036: Nexus Dawn;антиутопический фильм, научно-фантастический фильм, и, киберпанк;Люк Скотт;США;2017
2036: Происхождение неизвестно;научная фантастика;Хасраф Дулулл;Великобритания;2018
2030 — Восстание молодых немцев;фантастика, драма;Йорг Людорф;Германия;2011
2019: После падения Нью-Йорка;боевик, фильм ужасов, фантастика, постапокалиптика;Сержо Мартино;;1983
2012;научно-фантастический, фильм-катастрофа;Роланд Эммерих;США, 3;2009
2012: Ледниковый период;научно-фантастический, фильм-катастрофа;Трэвис Форт;США;2011
2009: Утраченные воспоминания;Альтернативная история, Фантастический, боевик, Триллер;Ли Си Мён;;2002
2001 маньяк: Территория криков;комедия, фильм ужасов;Тим Салливан, [англ.];США;2010
2001 маньяк;комедия ужасов;Тим Салливан;США;2005
1993;драма;Александр Велединский;Россия;2023
2000 метров до Андреевки;документальный фильм;Мстислав Чернов;Украина;2025
1991: Год прорыва панка;документальный;Дэвид Марки;США;1992
1990: Воины Бронкса;боевик, антиутопия;Энцо Г. Кастеллари;Италия;1982
1984;антиутопия;Диана Ринго;;2023
1984;антиутопия;Майкл Рэдфорд;Великобритания;1984
1984;антиутопия, драма, фантастика;Майкл Андерсон;Великобритания;1956
«1984»;Реклама;Ридли Скотт;США;1983
1971;документалистика;Джоанна Гамильтон;США;2014
1944;военный фильм, драма;Эльмо Нюганен, 1;;2015
1941. Крылья над Берлином;биография, мелодрама;Константин Буслов;Россия;2022
1941;военная, комедия;Стивен Спилберг;США;1979
1939;драма;Стивен Поляков;Великобритания;2009
1939;драма;Йоран Кармбак;Швеция;1989
1922;криминальная драма, триллер;Зак Хилдитч;США;2017
1917;военный фильм;Сэм Мендес;;2019
1860;Драма;Алессандро Блазетти;Италия;1934
1812: Уланская баллада;приключенческий, исторический;Олег Фесенко;Россия;2012
1812;документальный, драма;Павел Тупик;Россия;2012
1812 год;драма, исторический;Василий Гончаров, Кай Ганзен, Александр Уральский;Российская империя;1912
1612;Приключенческий фильм;Владимир Хотиненко;Россия;2007
1500 шагов;драма;Джош Рейд;Австралия;2014
1408;психологические ужасы, триллер, мистика, психоделика, драма;Микаэль Хофстрём;США;2007
1242: Врата на Запад;исторический фильм;Петер Шоош, [вд];Венгрия;2025
1492: Завоевание рая;драма, /, исторический;Ридли Скотт;;1992
1210;драма;Арсений Гончуков;Россия;2012
1040;документальный;Эван Джексон Леонг;США;2010
1002-я ночь;музыкальный фильм;Мукадас Махмудов;СССР;1964
977;фантастика, драма;Николай Хомерики;Россия;2006
900 незабываемых дней;документальный, пропагандистский;Валерий Соловцов;СССР;1964
900 дней.;документальный;Джессика Гортер;Нидерланды;2011
800 пуль;драма;Алекс Де Ла Иглесиа;Испания;2002
800 льё вниз по Амазонке;приключения;Луис Льоса;;1993
713-й просит посадку;драма, триллер, приключение, фильм-катастрофа;Григорий Никулин;СССР;1962
711 Оушен Драйв;Фильм нуар;Джозеф М. Ньюман;США;1950
600 миль;драма;Габриэль Рипштейн, [вд];Мексика;2015
451 градус по Фаренгейту;драма, антиутопическое произведение, [вд], научно-фантастический фильм, и, экранизация романа, [вд];Рамин Бахрани;США;2018
500 дней лета;романтическая, комедийная драма;Марк Уэбб;США;2009
451° по Фаренгейту;антиутопия;Франсуа Трюффо;;1966
475;документальный фильм;Nadir Bouhmouch, [вд];Марокко;2013
365 дней;эротическая комедия;Барбара Бяловонс, Томаш Мандес;Польша;2020
300 спартанцев: Расцвет империи;эпический, исторический, боевик;Ноам Мурро;США;2014
317-й взвод;военный фильм, и, драма;Пьер Шёндёрффер, 1;;1964
301, 302;триллер, фильм ужасов, детектив;Пак Чхоль Су, [англ.];Республика Корея;1995
300 спартанцев;эпический, исторический, боевик;Зак Снайдер;США;2006
247 градусов по Фаренгейту;фильм ужасов;Леван Бакха;;2011
200 сигарет;комедия, драма, мелодрама;Риза Брэмон Гарсия;США;1999
187;драма, триллер;Кевин Рейнольдс;США;1997
180;документальный фильм;Рэй Комфорт, [вд];США;2011
128 ударов сердца в минуту;музыкальная драма;Макс Джозеф;;2015
130 детей;документальный фильм, 1;Ainara Aparici, [вд];;2022
127 часов;драма, триллер;Дэнни Бойл;;2010
120 ударов в минуту;драма, и, ЛГБТ-фильм, [вд], 1;Робен Кампийо;Франция;2017
102 далматинца;комедия;Кевин Лима;США;2000
109-й идёт без остановок;фильм-катастрофа;Дзюнъя Сато;Япония;1975
101-й километр;драма;Леонид Марягин;Россия;2001
101 Рейс;биография;Акром Шахназаров;Узбекистан;2022
101 Рейкьявик;романтическая комедия;Балтазар Кормакур;;2000
101 далматинец;семейный фильм, комедия, приключенческий фильм;Стивен Херек;США;1996
100 футов;триллер;Эрик Ред;США;2008
100 слёз;фильм ужасов;Маркус Кох;США;2007
100 проблем и девушка;Комедия;Мэтью Хаффман, [вд];США;2000
100 миллионов евро;комедия;Оливье Барру;Франция;2011
100 метров;драма, комедия;Марсель Баррена;;2016
100 лет;Научная фантастика;Роберт Родригес;Франция;2015
100 дней с Мистером Высокомерие;романтическая кинокомедия, мелодрама;Шин Джэ-хо, [вд];Республика Корея;2004
100 девчонок и одна в лифте;комедия;Майкл Дэвис;США;2000
100 всадников;исторический фильм, приключенческий фильм;Витторио Коттафави;;1964
100 вещей и ничего лишнего;комедия;Флориан Давид Фиц, [вд];Германия;2018
99 франков;комедия, драма;Ян Кунен;Франция;2007
99 женщин;драма, триллер, фильм ужасов;Хесус Франко;;1969
99 домов;драма, 1, 2;Рамин Бахрани;США;2014
99;криминальный фильм;Майкл Кёртис;Венгрия;1918
92: Чёрная Роза против Чёрной розы;комедия;Джеффри Лау;Гонконг;1992
92 ядерных взрыва на планете Земля;документальный фильм;Питер Гринуэй;;2010
90 минут на небесах;драма;Майкл Полиш;США;2015
88 минут;триллер;Джон Эвнет;;2007
80 миллионов;драма, боевик, исторический фильм;Вальдемар Кшистек;Польша;2011
76 дней;документальный фильм;Ли Ву, [вд];;2020
72 часа;военный, драма;Кира Ангелина;Россия;2015
72 метра;фильм-катастрофа, драма, трагикомедия;Владимир Хотиненко;Россия;2004
71: В огне;боевик, драма, военный фильм;Ли Джэ Хан, [кор.];Республика Корея;2010
69 (Шестьдесят девять);комедия, криминальный фильм;Пен-Ек Ратанаруанг;Таиланд;1999
71 фрагмент хронологии случайностей;драма;Михаэль Ханеке;;1994
65;научная фантастика;Скотт Бек, Брайан Вудс;США, 5;2023
71;историческая, драма;Ян Деманж;Великобритания;2014
57 секунд;;Расти Кандифф, [вд];США;2023
55-й элемент;драма, фильм-катастрофа;Энтони Пхунь, [англ.];Гонконг;2024
55 дней в Пекине;драма, исторический, военный;Николас Рэй;США;1963
55;документальный фильм, пропаганда;Никита Михалков;Россия;2007
51;фантастика, фильм ужасов;Джейсон Коннери;США;2011
50 ютуберов борются за $1,000,000 для своих подписчиков!;;;;2024
50 таблеток;Драма;Тео Эвгерино;США;2006
50 оттенков голубого;драма;Стюарт Мейн;Новая Зеландия;2005
50 первых поцелуев;романтическая комедия;Питер Сигал;США;2004
49 дней;драма, приключения;Генрих Габай;СССР;1962
